Isolate,Accession_number,Collection_time,Country,Continent,Genotype,Source
ERR5102157|2018|France|Europe,ERR5102157,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102158|2018|France|Europe,ERR5102158,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102159|2018|France|Europe,ERR5102159,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102160|2018|France|Europe,ERR5102160,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102161|2018|France|Europe,ERR5102161,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102162|2018|France|Europe,ERR5102162,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102163|2018|France|Europe,ERR5102163,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102164|2018|France|Europe,ERR5102164,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102165|2018|France|Europe,ERR5102165,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102166|2018|France|Europe,ERR5102166,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102167|2018|France|Europe,ERR5102167,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102168|2018|France|Europe,ERR5102168,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102169|2018|France|Europe,ERR5102169,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102170|2018|France|Europe,ERR5102170,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102171|2018|France|Europe,ERR5102171,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102172|2018|France|Europe,ERR5102172,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044068|1953|France|Europe,ERR6044068,1953,France,Europe,Others,Lefrancq & Bouchez et al. 2022
ERR6044069|1993|France|Europe,ERR6044069,1993,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044070|1994|France|Europe,ERR6044070,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044071|1994|France|Europe,ERR6044071,1994,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044072|1994|France|Europe,ERR6044072,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044073|1994|France|Europe,ERR6044073,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044074|1994|France|Europe,ERR6044074,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044075|1994|France|Europe,ERR6044075,1994,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044076|1994|France|Europe,ERR6044076,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044077|1994|France|Europe,ERR6044077,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044078|1994|France|Europe,ERR6044078,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044079|1994|France|Europe,ERR6044079,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044080|1994|France|Europe,ERR6044080,1994,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044081|1994|France|Europe,ERR6044081,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044082|1994|France|Europe,ERR6044082,1994,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044083|1994|France|Europe,ERR6044083,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044084|1994|France|Europe,ERR6044084,1994,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044085|1995|France|Europe,ERR6044085,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044086|1995|France|Europe,ERR6044086,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044087|1995|France|Europe,ERR6044087,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044088|1995|France|Europe,ERR6044088,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044089|1995|France|Europe,ERR6044089,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044090|1995|France|Europe,ERR6044090,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044091|1995|France|Europe,ERR6044091,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044092|1995|France|Europe,ERR6044092,1995,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044093|1995|France|Europe,ERR6044093,1995,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044094|1995|France|Europe,ERR6044094,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044095|1995|France|Europe,ERR6044095,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044096|1995|France|Europe,ERR6044096,1995,France,Europe,Others,Lefrancq & Bouchez et al. 2022
ERR6044097|1995|France|Europe,ERR6044097,1995,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044098|1995|France|Europe,ERR6044098,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044099|1995|France|Europe,ERR6044099,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044100|1995|France|Europe,ERR6044100,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044101|1995|France|Europe,ERR6044101,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044102|1995|France|Europe,ERR6044102,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044103|1995|France|Europe,ERR6044103,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044104|1995|France|Europe,ERR6044104,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044105|1995|France|Europe,ERR6044105,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044106|1995|France|Europe,ERR6044106,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044107|1995|France|Europe,ERR6044107,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044108|1995|France|Europe,ERR6044108,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044109|1995|France|Europe,ERR6044109,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044110|1995|France|Europe,ERR6044110,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044111|1995|France|Europe,ERR6044111,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044112|1995|France|Europe,ERR6044112,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044113|1995|France|Europe,ERR6044113,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044114|1995|France|Europe,ERR6044114,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044115|1995|France|Europe,ERR6044115,1995,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044116|1995|France|Europe,ERR6044116,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044117|1995|France|Europe,ERR6044117,1995,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044118|1995|France|Europe,ERR6044118,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044119|1995|France|Europe,ERR6044119,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044120|1995|France|Europe,ERR6044120,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044121|1995|France|Europe,ERR6044121,1995,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044122|1996|France|Europe,ERR6044122,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044123|1996|France|Europe,ERR6044123,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044124|1996|France|Europe,ERR6044124,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044125|1996|France|Europe,ERR6044125,1996,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044126|1996|France|Europe,ERR6044126,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044127|1996|France|Europe,ERR6044127,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044128|1996|France|Europe,ERR6044128,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044129|1996|France|Europe,ERR6044129,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044130|1996|France|Europe,ERR6044130,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044131|1996|France|Europe,ERR6044131,1996,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044132|1996|France|Europe,ERR6044132,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044133|1996|France|Europe,ERR6044133,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044134|1996|France|Europe,ERR6044134,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044135|1996|France|Europe,ERR6044135,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044136|1996|France|Europe,ERR6044136,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044137|1996|France|Europe,ERR6044137,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044138|1996|France|Europe,ERR6044138,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044139|1996|France|Europe,ERR6044139,1996,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044140|1996|France|Europe,ERR6044140,1996,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044141|1996|France|Europe,ERR6044141,1996,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044142|1997|France|Europe,ERR6044142,1997,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044143|1997|France|Europe,ERR6044143,1997,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044144|1997|France|Europe,ERR6044144,1997,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044145|1997|France|Europe,ERR6044145,1997,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044146|1997|France|Europe,ERR6044146,1997,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044147|1997|France|Europe,ERR6044147,1997,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044148|1997|France|Europe,ERR6044148,1997,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044149|1997|France|Europe,ERR6044149,1997,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044150|1997|France|Europe,ERR6044150,1997,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044151|1997|France|Europe,ERR6044151,1997,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044152|1998|France|Europe,ERR6044152,1998,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044153|1998|France|Europe,ERR6044153,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044154|1998|France|Europe,ERR6044154,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044155|1998|France|Europe,ERR6044155,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044156|1998|France|Europe,ERR6044156,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044157|1998|France|Europe,ERR6044157,1998,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044158|1998|France|Europe,ERR6044158,1998,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044159|1998|France|Europe,ERR6044159,1998,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044160|1998|France|Europe,ERR6044160,1998,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044161|1998|France|Europe,ERR6044161,1998,France,Europe,Others,Lefrancq & Bouchez et al. 2022
ERR6044162|1998|France|Europe,ERR6044162,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044163|1998|France|Europe,ERR6044163,1998,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044164|1998|France|Europe,ERR6044164,1998,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044165|1998|France|Europe,ERR6044165,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044166|1998|France|Europe,ERR6044166,1998,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044167|1998|France|Europe,ERR6044167,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044168|1998|France|Europe,ERR6044168,1998,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044169|1998|France|Europe,ERR6044169,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044170|1998|France|Europe,ERR6044170,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044171|1998|France|Europe,ERR6044171,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044172|1998|France|Europe,ERR6044172,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044173|1998|France|Europe,ERR6044173,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044174|1998|France|Europe,ERR6044174,1998,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044175|1999|France|Europe,ERR6044175,1999,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044176|1999|France|Europe,ERR6044176,1999,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044177|1999|France|Europe,ERR6044177,1999,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044178|1999|France|Europe,ERR6044178,1999,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044179|1999|France|Europe,ERR6044179,1999,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044180|1999|France|Europe,ERR6044180,1999,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044181|1999|France|Europe,ERR6044181,1999,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044182|1999|France|Europe,ERR6044182,1999,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044183|1999|France|Europe,ERR6044183,1999,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044184|1999|France|Europe,ERR6044184,1999,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044185|2000|France|Europe,ERR6044185,2000,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044186|2000|France|Europe,ERR6044186,2000,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044187|2000|France|Europe,ERR6044187,2000,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044188|2000|France|Europe,ERR6044188,2000,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044189|2000|France|Europe,ERR6044189,2000,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044190|2000|France|Europe,ERR6044190,2000,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044191|2000|France|Europe,ERR6044191,2000,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044192|2000|France|Europe,ERR6044192,2000,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044193|2000|France|Europe,ERR6044193,2000,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044194|2000|France|Europe,ERR6044194,2000,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044195|2001|France|Europe,ERR6044195,2001,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044196|2001|France|Europe,ERR6044196,2001,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044197|2001|France|Europe,ERR6044197,2001,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044198|2001|France|Europe,ERR6044198,2001,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044199|2001|France|Europe,ERR6044199,2001,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044200|2001|France|Europe,ERR6044200,2001,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044201|2001|France|Europe,ERR6044201,2001,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044202|2001|France|Europe,ERR6044202,2001,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044203|2002|France|Europe,ERR6044203,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044204|2002|France|Europe,ERR6044204,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044205|2002|France|Europe,ERR6044205,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044206|2002|France|Europe,ERR6044206,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044207|2002|France|Europe,ERR6044207,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044208|2002|France|Europe,ERR6044208,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044209|2002|France|Europe,ERR6044209,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044210|2002|France|Europe,ERR6044210,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044211|2002|France|Europe,ERR6044211,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044212|2002|France|Europe,ERR6044212,2002,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044213|2003|France|Europe,ERR6044213,2003,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044214|2003|France|Europe,ERR6044214,2003,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044215|2003|France|Europe,ERR6044215,2003,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044216|2003|France|Europe,ERR6044216,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044217|2003|France|Europe,ERR6044217,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044218|2003|France|Europe,ERR6044218,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044219|2003|France|Europe,ERR6044219,2003,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044220|2003|France|Europe,ERR6044220,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044221|2003|France|Europe,ERR6044221,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044222|2003|France|Europe,ERR6044222,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044223|2003|France|Europe,ERR6044223,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044224|2003|France|Europe,ERR6044224,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044225|2003|France|Europe,ERR6044225,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044226|2003|France|Europe,ERR6044226,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044227|2003|France|Europe,ERR6044227,2003,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044228|2003|France|Europe,ERR6044228,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044229|2003|France|Europe,ERR6044229,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044230|2003|France|Europe,ERR6044230,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044231|2003|France|Europe,ERR6044231,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044232|2003|France|Europe,ERR6044232,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044233|2003|France|Europe,ERR6044233,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044234|2003|France|Europe,ERR6044234,2003,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044235|2004|France|Europe,ERR6044235,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044236|2004|France|Europe,ERR6044236,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044237|2004|France|Europe,ERR6044237,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044238|2004|France|Europe,ERR6044238,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044239|2004|France|Europe,ERR6044239,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044240|2004|France|Europe,ERR6044240,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044241|2004|France|Europe,ERR6044241,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044242|2004|France|Europe,ERR6044242,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044243|2004|France|Europe,ERR6044243,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044244|2004|France|Europe,ERR6044244,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044245|2004|France|Europe,ERR6044245,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044246|2004|France|Europe,ERR6044246,2004,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044247|2004|France|Europe,ERR6044247,2004,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044248|2004|France|Europe,ERR6044248,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044249|2004|France|Europe,ERR6044249,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044250|2004|France|Europe,ERR6044250,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044251|2004|France|Europe,ERR6044251,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044252|2004|France|Europe,ERR6044252,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044253|2004|France|Europe,ERR6044253,2004,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044254|2004|France|Europe,ERR6044254,2004,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044255|2005|France|Europe,ERR6044255,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044256|2005|France|Europe,ERR6044256,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044257|2005|France|Europe,ERR6044257,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044258|2005|France|Europe,ERR6044258,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044259|2005|France|Europe,ERR6044259,2005,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044260|2005|France|Europe,ERR6044260,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044261|2005|France|Europe,ERR6044261,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044262|2005|France|Europe,ERR6044262,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044263|2005|France|Europe,ERR6044263,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044264|2005|France|Europe,ERR6044264,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044265|2005|France|Europe,ERR6044265,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044266|2006|France|Europe,ERR6044266,2006,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044267|2006|France|Europe,ERR6044267,2006,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044268|2006|France|Europe,ERR6044268,2006,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044269|2006|France|Europe,ERR6044269,2006,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR6044270|2006|France|Europe,ERR6044270,2006,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044271|2006|France|Europe,ERR6044271,2006,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044272|2006|France|Europe,ERR6044272,2006,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR6044273|2006|France|Europe,ERR6044273,2006,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
